ردیف,نام منبع,نام اکانت,نوع,زبان,موضوع,زیر‌دسته,لینک,دقت,سرعت,بی‌طرفی,امتیاز کل,فعال
58,Certfa Lab,@CertfaLab,توییتر,فارسی,سایبری,حملات هدفمند,https://twitter.com/CertfaLab,24,23,22,69,بله
59,Security Boulevard,@SecurityBlvd,توییتر,انگلیسی,تحلیل امنیت سایبری,مقاله و گزارش,https://twitter.com/SecurityBlvd,24,23,23,70,بله
60,HackRead,@HackRead,توییتر,انگلیسی,نشت اطلاعات,دارک‌وب,https://twitter.com/HackRead,23,22,22,67,بله
61,CyberWarWatch,@CyberWarWatch,توییتر,انگلیسی,جنگ و سایبری,تحلیل منطقه‌ای,https://twitter.com/CyberWarWatch,24,23,22,69,بله
62,CyberSecurityInsider,@CyberSecInsider,توییتر,انگلیسی,امنیت سایبری,گزارش روزانه,https://twitter.com/CyberSecInsider,23,22,21,66,بله
63,Iran Cyber News,@IranCyberNews,توییتر,فارسی,سایبری ایران,تهدیدات,https://twitter.com/IranCyberNews,22,21,20,63,بله
64,InfoSecFeed,@InfoSecFeed,توییتر,انگلیسی,امنیت سایبری,تحلیل عمومی,https://twitter.com/InfoSecFeed,24,23,23,70,بله
65,CyberLeaks,@CyberLeaks,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/CyberLeaks,23,22,21,66,بله
66,Middle East Security,@MidEastSecurity,توییتر,انگلیسی,امنیت خاورمیانه,تحلیل منطقه‌ای,https://twitter.com/MidEastSecurity,25,24,23,72,بله
67,Darknet Watch,@DarknetWatch,توییتر,انگلیسی,دارک‌وب,پایش جرایم سایبری,https://twitter.com/DarknetWatch,24,23,22,69,بله
68,Iran Security Updates,@IranSecUpdates,توییتر,فارسی,امنیت داخلی ایران,اخبار امنیت,https://twitter.com/IranSecUpdates,22,21,20,63,بله
69,CyberIntelligence Hub,@CyberIntelHub,توییتر,انگلیسی,تحلیل تهدیدات,سایبری,https://twitter.com/CyberIntelHub,25,25,24,74,بله
70,ThreatPost,@ThreatPost,توییتر,انگلیسی,امنیت سایبری,اخبار و تحلیل,https://twitter.com/ThreatPost,25,24,24,73,بله
71,CyberIntel Iran,@CyberIntelIran,توییتر,فارسی,سایبری ایران,تحلیل تهدیدات,https://twitter.com/CyberIntelIran,23,22,20,65,بله
72,InfoSec Brief,@InfoSecBrief,توییتر,انگلیسی,امنیت سایبری,خلاصه روزانه,https://twitter.com/InfoSecBrief,24,23,23,70,بله
73,Iranian Cyber Threats,@IranCyberThreats,توییتر,فارسی,سایبری,تهدیدات منطقه‌ای,https://twitter.com/IranCyberThreats,22,21,20,63,بله
74,Malware Must Die,@MalwareMustDie,توییتر,انگلیسی,امنیت سایبری,تحلیل بدافزارها,https://twitter.com/MalwareMustDie,25,25,24,74,بله
75,CERT Polska,@CERTPolska,توییتر,انگلیسی,امنیت سایبری,مرکز CERT,https://twitter.com/CERTPolska,25,24,23,72,بله
76,DarkTracer Iran,@DarkTracerIran,توییتر,فارسی,سایبری,نشت اطلاعات,https://twitter.com/DarkTracerIran,23,22,21,66,بله
77,ThreatConnect,@ThreatConnect,توییتر,انگلیسی,تحلیل تهدیدات,پلتفرم OSINT,https://twitter.com/ThreatConnect,24,23,23,70,بله
78,Digital Shadows,@digitalshadows,توییتر,انگلیسی,سایبری,نظارت دارک‌وب,https://twitter.com/digitalshadows,25,24,24,73,بله
79,Cybersec News,@cybersecnews,توییتر,انگلیسی,اخبار سایبری,گزارش روزانه,https://twitter.com/cybersecnews,24,23,22,69,بله
80,Iran Dark Web Monitor,@IranDarkWebMonitor,توییتر,فارسی,دارک‌وب,پایش ایران,https://twitter.com/IranDarkWebMonitor,22,21,20,63,بله
81,InfoSec Today,@infosectoday,توییتر,انگلیسی,امنیت سایبری,اخبار و تحلیل,https://twitter.com/infosectoday,25,24,23,72,بله
82,Cyber Threat Watch,@CyberThreatWatch,توییتر,انگلیسی,تهدیدات سایبری,تحلیل تهدیدات,https://twitter.com/CyberThreatWatch,24,23,22,69,بله
83,Hacktivist Monitor,@HacktivistMonitor,توییتر,انگلیسی,هک و اعتراضات,فعالیت گروه‌ها,https://twitter.com/HacktivistMonitor,23,22,20,65,بله
84,Iran Cyber Watch,@IranCyberWatch,توییتر,فارسی,سایبری ایران,گزارش تهدیدات,https://twitter.com/IranCyberWatch,22,21,20,63,بله
85,CyberLeaks Network,@CyberLeaksNetwork,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/CyberLeaksNetwork,24,23,22,69,بله
86,Dark Web Watcher,@darkwebwatcher,توییتر,انگلیسی,دارک‌وب,پایش جرایم سایبری,https://twitter.com/darkwebwatcher,24,23,21,68,بله
87,Iran Cyber Sec,@IranCyberSec,توییتر,فارسی,امنیت سایبری,ایران,https://twitter.com/IranCyberSec,23,22,20,65,بله
88,Threat Analysis,@ThreatAnalysis,توییتر,انگلیسی,تحلیل تهدیدات,گزارش‌های امنیتی,https://twitter.com/ThreatAnalysis,25,24,23,72,بله
89,CyberWar News,@CyberWarNews,توییتر,انگلیسی,جنگ سایبری,اخبار روزانه,https://twitter.com/CyberWarNews,24,23,22,69,بله
90,CyberSec Telegram,@CyberSecTelegram,تلگرام,فارسی,سایبری,گزارش‌های ایران,https://t.me/CyberSecTelegram,23,22,21,66,بله
91,Iran Threat Report,@IranThreatReport,توییتر,فارسی,تهدیدات داخلی,تحلیل امنیتی,https://twitter.com/IranThreatReport,22,21,20,63,بله
92,CyberSecurity Reports,@CyberSecReports,توییتر,انگلیسی,گزارش‌های امنیتی,تحلیل تهدیدات,https://twitter.com/CyberSecReports,25,25,24,74,بله
93,Hack News,@HackNews,توییتر,انگلیسی,اخبار هک و سایبری,اخبار روزانه,https://twitter.com/HackNews,24,24,23,71,بله
94,Iran Cyber Defense,@IranCyberDefense,توییتر,فارسی,دفاع سایبری,ایران,https://twitter.com/IranCyberDefense,23,22,21,66,بله
95,CyberIntel News,@CyberIntelNews,توییتر,انگلیسی,اخبار سایبری,تحلیل روزانه,https://twitter.com/CyberIntelNews,24,23,22,69,بله
96,DarkNet Updates,@DarkNetUpdates,توییتر,انگلیسی,دارک‌وب,پایش جرایم سایبری,https://twitter.com/DarkNetUpdates,24,23,23,70,بله
97,Iran Cyber News,@IranCyberNews2,توییتر,فارسی,سایبری ایران,گزارش تهدیدات,https://twitter.com/IranCyberNews2,22,21,20,63,بله
98,Threat Intel Reports,@ThreatIntelReports,توییتر,انگلیسی,تحلیل تهدیدات,گزارش‌های امنیتی,https://twitter.com/ThreatIntelReports,25,25,24,74,بله
99,CyberAttack Watch,@CyberAttackWatch,توییتر,انگلیسی,حملات سایبری,رصد حملات,https://twitter.com/CyberAttackWatch,24,24,22,70,بله
100,Iran Security News,@IranSecurityNews,توییتر,فارسی,امنیت داخلی ایران,اخبار امنیت,https://twitter.com/IranSecurityNews,23,22,21,66,بله
101,CyberWarriors Iran,@CyberWarriorsIran,توییتر,فارسی,جنگ سایبری,ایران و منطقه,https://twitter.com/CyberWarriorsIran,23,22,21,66,بله
102,Iran Infosec Network,@IranInfosecNet,توییتر,فارسی,امنیت سایبری,شبکه ایران,https://twitter.com/IranInfosecNet,22,21,20,63,بله
103,DarkNet Intelligence,@DarkNetIntel,توییتر,انگلیسی,دارک‌وب,تحلیل تهدیدات,https://twitter.com/DarkNetIntel,24,23,22,69,بله
104,Iranian Cyber Alerts,@IranCyberAlerts,توییتر,فارسی,هشدارهای سایبری,ایران,https://twitter.com/IranCyberAlerts,23,22,21,66,بله
105,CyberSec Watch,@CyberSecWatch,توییتر,انگلیسی,امنیت سایبری,پایش تهدیدات,https://twitter.com/CyberSecWatch,25,24,23,72,بله
106,Hacktivist News,@HacktivistNews,توییتر,انگلیسی,هک و اعتراضات,اخبار و تحلیل,https://twitter.com/HacktivistNews,24,23,22,69,بله
107,Iran Digital Security,@IranDigitalSec,توییتر,فارسی,امنیت دیجیتال,ایران,https://twitter.com/IranDigitalSec,22,21,20,63,بله
108,CyberIntel Reports,@CyberIntelReports,توییتر,انگلیسی,تحلیل تهدیدات,گزارش‌های امنیتی,https://twitter.com/CyberIntelReports,25,24,24,73,بله
109,ThreatWatch,@ThreatWatch,توییتر,انگلیسی,رصد تهدیدات,سایبری,https://twitter.com/ThreatWatch,24,23,23,70,بله
110,Iran InfoSec Updates,@IranInfoSecUpdates,توییتر,فارسی,امنیت سایبری,ایران,https://twitter.com/IranInfoSecUpdates,23,22,21,66,بله
111,DarkWeb Intelligence,@DarkWebIntel,توییتر,انگلیسی,دارک‌وب,تحلیل جرایم,https://twitter.com/DarkWebIntel,24,23,22,69,بله
112,CyberSec Global News,@CyberSecGlobal,توییتر,انگلیسی,اخبار امنیتی,جهانی,https://twitter.com/CyberSecGlobal,25,24,23,72,بله
113,Iran Cyber Reports,@IranCyberReports,توییتر,فارسی,گزارشات سایبری,ایران,https://twitter.com/IranCyberReports,23,22,20,65,بله
114,Security News Today,@SecurityNewsToday,توییتر,انگلیسی,اخبار امنیتی,تحلیل و گزارش,https://twitter.com/SecurityNewsToday,24,23,23,70,بله
115,Hackers Watch,@HackersWatch,توییتر,انگلیسی,هک و سایبری,رصد فعالیت‌ها,https://twitter.com/HackersWatch,24,23,22,69,بله
116,Iran Cyber Defense,@IranCyberDefense2,توییتر,فارسی,دفاع سایبری,ایران,https://twitter.com/IranCyberDefense2,22,21,20,63,بله
117,DarkNet Watch,@DarkNetWatch2,توییتر,انگلیسی,دارک‌وب,پایش جرایم,https://twitter.com/DarkNetWatch2,24,23,22,69,بله
118,Cyber Intel Analysts,@CyberIntelAnalysts,توییتر,انگلیسی,تحلیل تهدیدات,امنیت سایبری,https://twitter.com/CyberIntelAnalysts,25,24,24,73,بله
119,Iran InfoSec Watch,@IranInfoSecWatch,توییتر,فارسی,امنیت سایبری,ایران,https://twitter.com/IranInfoSecWatch,23,22,21,66,بله
120,Cyber Threat Reports,@CyberThreatReports,توییتر,انگلیسی,گزارش تهدیدات,گزارش‌های روزانه,https://twitter.com/CyberThreatReports,24,23,23,70,بله
121,InfoSec Global,@InfoSecGlobal,توییتر,انگلیسی,امنیت سایبری,اخبار و تحلیل,https://twitter.com/InfoSecGlobal,25,24,24,73,بله
122,Iran Digital Defense,@IranDigitalDefense,توییتر,فارسی,دفاع سایبری,ایران,https://twitter.com/IranDigitalDefense,22,21,20,63,بله
123,Dark Web Tracker,@DarkWebTracker,توییتر,انگلیسی,دارک‌وب,پایش جرایم,https://twitter.com/DarkWebTracker,24,23,22,69,بله
124,CyberSec Iran Updates,@CyberSecIranUpdates,توییتر,فارسی,امنیت سایبری,ایران,https://twitter.com/CyberSecIranUpdates,23,22,21,66,بله
125,Hacker Intelligence,@HackerIntel,توییتر,انگلیسی,تحلیل هک و تهدیدات,جهانی,https://twitter.com/HackerIntel,25,24,24,73,بله
126,Iran Cyber Threat Watch,@IranCyberThreatWatch,توییتر,فارسی,سایبری,ایران,https://twitter.com/IranCyberThreatWatch,22,21,20,63,بله
127,Threat Intel Daily,@ThreatIntelDaily,توییتر,انگلیسی,تحلیل تهدیدات,روزانه,https://twitter.com/ThreatIntelDaily,24,23,23,70,بله
128,Cyber Security Watch,@CyberSecurityWatch,توییتر,انگلیسی,امنیت سایبری,گزارش تهدیدات,https://twitter.com/CyberSecurityWatch,24,23,22,69,بله
129,Iranian Hackers Report,@IranHackersReport,توییتر,فارسی,گزارشات هک,ایران,https://twitter.com/IranHackersReport,23,22,21,66,بله
130,Cyber Security News,@CyberSecNews2,توییتر,انگلیسی,اخبار امنیتی,تحلیل و گزارش,https://twitter.com/CyberSecNews2,24,23,23,70,بله
131,Dark Web Intel Reports,@DarkWebIntelReports,توییتر,انگلیسی,دارک‌وب,پایش جرایم,https://twitter.com/DarkWebIntelReports,24,23,22,69,بله
132,Iran Cybersecurity Hub,@IranCybersecurityHub,توییتر,فارسی,سایبری ایران,مرکز اطلاعاتی,https://twitter.com/IranCybersecurityHub,23,22,21,66,بله
